,id,song_title,artist,mp3,genre,votes
50,1KhrAWvLIjRlQIJtSTgvsi,Would You Go With Me,Josh Turner,https://p.scdn.co/mp3-preview/c3afdf2d3afd8f23aa3972f545c4f8f2ee78b798?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,3.0
58,7rwKNqgVO0OfdOLNSKfYR4,Caroline,Colter Wall,https://p.scdn.co/mp3-preview/448211844989f081bbe2384041311624106442be?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,3.0
53,7puxIVNdj5nsBJk43zM3bH,Carrying Your Love With Me,George Strait,https://p.scdn.co/mp3-preview/ab3ccee596e01cdfe158a9f652dc8616b6ac7a26?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,3.0
54,75QTZG8XFYKb0HQIwgCzNE,Brand New Man,Brooks & Dunn,https://p.scdn.co/mp3-preview/689937390b1ea7550fcd1247b4546325d13d1313?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,3.0
55,4G9eIyEcVwLoG7kYNFpSII,Ocean Front Property,George Strait,https://p.scdn.co/mp3-preview/565d62772b971b05c60d4954480eecf8c8e3c368?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,3.0
56,5TXtn8dOWu3E68OuLC6xLo,Let's All Help the Cowboys (Sing the Blues),Colter Wall,https://p.scdn.co/mp3-preview/7f952205f60cf633b0e8edb1e071c282f41eb410?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,3.0
57,2DmBuFsXx1Pd5FHrMF8PD8,It Just Comes Natural,George Strait,https://p.scdn.co/mp3-preview/ab3a5eba944e97ea0eb825a6514a35bf5b736076?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,3.0
38,11OFYsUK9EVJsQ6nutH32M,Here For A Good Time,George Strait,https://p.scdn.co/mp3-preview/f8e9f0b19ebf7f42dc9a424319905d70fca79e3f?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,3.0
59,5jfhLCSIFUO4ndzNRh4w4G,"Burn, Burn, Burn",Zach Bryan,https://p.scdn.co/mp3-preview/5c05572ad5288561f32c48853a00ae0621e50f0a?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,3.0
60,46fHLVEQBcyC8VjnmdDF3q,All I See Is You,Shane Smith & the Saints,https://p.scdn.co/mp3-preview/62c7b56f4ebcbfcdadb149650e73e9271f869f26?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,3.0
61,48nZLOpJOINkICPWpUuhaN,Universal Sound,Tyler Childers,https://p.scdn.co/mp3-preview/929ad8aa70ce7de4f7d862e7e4ac7d84d2f189ff?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,3.0
62,2UikqkwBv7aIvlixeVXHWt,You Should Probably Leave,Chris Stapleton,https://p.scdn.co/mp3-preview/ecf3f6c5df39c8cb6cd9502289ba4d45c51550c6?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,3.0
63,26iYJEimPCE0ozDlpj0UFN,Livin' On Love,Alan Jackson,https://p.scdn.co/mp3-preview/c0ad50cfb867a205b5781ea4114ad9e10758006b?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,3.0
64,7yQMZQeiSKnvEgimeGPVhi,I Can Still Make Cheyenne,George Strait,https://p.scdn.co/mp3-preview/00d1b5a5e3ec000e4b047f9521e0515cc3d65703?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,3.0
39,3Ozx6IrGdoQyAworJzvBDE,Sleeping on the Blacktop,Colter Wall,https://p.scdn.co/mp3-preview/1d1b8f447a7edba02a6eb9f431e754232314ebe5?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,3.0
51,3jSc6a7N6L9RhAhxjh9VQP,I Swear (To God),Tyler Childers,https://p.scdn.co/mp3-preview/1569431caaa9733e8d9a7fbb33e5f4bd3bc30d1d?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,3.0
37,3R6c8mU0KUlUvEin4cJ2OJ,Ever Lovin' Hand,Tyler Childers,https://p.scdn.co/mp3-preview/2a7738a1e56618d0e198a3ea079df8a3d6ee7c64?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,3.0
23,2tgQaL85WoRfgEa4hFQgrE,Feathered Indians,Tyler Childers,https://p.scdn.co/mp3-preview/58221a452344c970d80372974a264b7ae7b7964c?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,3.0
11,7hlA8gMMz6jSp91Twsnuv3,The Devil Wears a Suit and Tie,Colter Wall,https://p.scdn.co/mp3-preview/c5379e2845522f5a22f89aacedd8c35659b66f81?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,3.0
36,4qjmnM1aYvayCTDd0uuRKH,Troubadour,George Strait,https://p.scdn.co/mp3-preview/e7a39f72d345cff2acdd7ea858be0c34546ebef7?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,3.0
12,225W9qCk2o51QyFZiEVDW9,If You're Gonna Play in Texas (You Gotta Have a Fiddle in the Band),Alabama,https://p.scdn.co/mp3-preview/1d3234f8407737dd5ed3e6a5d0daef63d4bc215e?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,3.0
13,2gJj6WtAxXjApMs3PXsCeX,Heavy Eyes,Zach Bryan,https://p.scdn.co/mp3-preview/4bc2afe73b4e2ce5de35bdd125672e0fe29b49b5?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,3.0
14,1zLWKvegCtyjWaVWQFFX5W,Fraulein (feat. Tyler Childers),Colter Wall,https://p.scdn.co/mp3-preview/483e906fe476713399fceb588ae2c06a78d3fe90?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,3.0
15,3oyByfBYegVEDwYyqx9pRd,Don't Rock the Jukebox,Alan Jackson,https://p.scdn.co/mp3-preview/4ade0b2baed55fb6d25c0e8dd1df41dbaf0d12f7?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,3.0
17,7nVQ8mo77KaUvhUQzh4vMy,Mammas Don't Let Your Babies Grow up to Be Cowboys,Waylon Jennings,https://p.scdn.co/mp3-preview/aeea1d47749b95f01ee99f926383712e5ecc72b5?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,3.0
18,1XcxubL4Y4U4gxLeIbb8VM,Tattoos,Tyler Childers,https://p.scdn.co/mp3-preview/9ad11b773c8726d3fa8a43b37205b9e99cb7a4e1?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,3.0
19,5M02K0TQ0zLiF69bTPGX7w,Hardwood Floors,Charles Wesley Godwin,https://p.scdn.co/mp3-preview/b36816983e02f528eddb5c7cf3cc92ea54adb0a8?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,3.0
20,3t5OV1asJHmOlf23T08CLv,Lady May,Tyler Childers,https://p.scdn.co/mp3-preview/e590fbae8772d6faec9db37f7f4b90bcd71cee17?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,3.0
21,0OWhKvvsHptt6vnnNUSM9a,Oklahoma Smokeshow,Zach Bryan,https://p.scdn.co/mp3-preview/9d89cb76b822ac1312744356f3aa0b770dd28dc9?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,3.0
22,2op0kDNARK2VHWHntEeH4g,Just To See You Smile,Tim McGraw,https://p.scdn.co/mp3-preview/03a7385935c8498b6b55e3e3293fc52a834ac8cd?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,3.0
16,3q3lSbfT5BnQlIvGwahgAD,The Great Divide,Luke Combs,https://p.scdn.co/mp3-preview/209f5d89495fffe0e4fbb79dd63cd6c37bfe04b9?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,3.0
24,5AihIu9yF3flkw1jFMyfwW,Human,Cody Johnson,https://p.scdn.co/mp3-preview/df81e983c090864817b48b81a8aef366a87f343c?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,3.0
30,1SfmBUgRfSDAl7pbfY6ks0,Baby Do,Randall King,https://p.scdn.co/mp3-preview/5a57eaadca5e5c37ba9fc19283c1befb7cee60aa?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,3.0
35,77XoAnllT85lmR9WP0D8dS,Ain't Always The Cowboy,Jon Pardi,https://p.scdn.co/mp3-preview/f3281f8ec5b366251439e1306af4f8c8f38d6c81?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,3.0
34,0nDjzA4kns1QOWPXuOn6Xw,Where The Green Grass Grows,Tim McGraw,https://p.scdn.co/mp3-preview/c2014d2fa8d00e19a4b2e7803f9967355313cac5?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,3.0
33,73ZTWCuwudUVvvWipRnQnQ,Family Tradition,"Hank Williams, Jr.",https://p.scdn.co/mp3-preview/dce23e88bd80efcc5946016ea8260cd779ab2408?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,3.0
31,5SpoN8sCoc05RfVde4raGN,Straight Tequila Night,John Anderson,https://p.scdn.co/mp3-preview/76cd47727359d1a91978879e7dc62679e04d96a9?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,3.0
32,76DhLVnoczE6umkHKR2Ec6,You In A Honky Tonk,Randall King,https://p.scdn.co/mp3-preview/2c2060dcd596f4b2943b24c2b5a387185e0483ca?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,3.0
29,24Nt4OalWDICkEKVy81X6k,Diamond In My Pocket,Cody Johnson,https://p.scdn.co/mp3-preview/0cb5c32b89fc536c05c9035345605007e053fe5c?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,3.0
28,7lJbTVbDEMa3w7NFamrwdq,Fishin' in the Dark,Nitty Gritty Dirt Band,https://p.scdn.co/mp3-preview/a6a20b6ad8632a85b92cc8e8eaf83ece680bc94f?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,3.0
27,3xx0jE52PbtvwXgNaBUdch,Deeper Than the Holler,Randy Travis,https://p.scdn.co/mp3-preview/baf39ffd4b0a6d7c86c2c1872c04443d5d50e162?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,3.0
26,6JdbV5DDltMVCyV0twmKwj,Diggin' Up Bones,Randy Travis,https://p.scdn.co/mp3-preview/0af1d3702bdb7ef7b38a64b4708e50b1fa19f161?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,3.0
25,1ipcb9qXpSHWhSUvdxJhsx,"Forever and Ever, Amen",Randy Travis,https://p.scdn.co/mp3-preview/26cebe228cdbcf73a16c819ca2116ac30a8aa89d?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,3.0
277,0D2jPX7b8uuHfiwGms76mY,Seminole Wind,John Anderson,https://p.scdn.co/mp3-preview/bbb77ea9793582d456cf3ee4e5c3912b00a4198d?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0
270,19PJ75UGKjpBo0muDNyxPW,Give It All We Got Tonight,George Strait,https://p.scdn.co/mp3-preview/704281f85b6e6fc62cf5a96c183e025e14e00153?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0
276,4KQG6sx2qcwCAkEphU8sUk,If Whiskey Could Talk,Tyler Childers,https://p.scdn.co/mp3-preview/0dfea7f2c3c2bf9ca182671a17fad1c79ecc0738?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0
275,7nDLdzyh2IDjL77JBmZTiQ,Make A Little,Midland,https://p.scdn.co/mp3-preview/64310ffc3b1ec95757827466b05be47ae1d5503f?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0
274,0bPnT6i9H1p8Vd85GS6Z7I,Night Shift,Jon Pardi,https://p.scdn.co/mp3-preview/d12e787de7bf7077ebec2daa84f5f285b55e9011?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0
273,7CJRKPk86dqF4q4UEUkYrl,Temporary Town,Charles Wesley Godwin,https://p.scdn.co/mp3-preview/d5bc5f1efd2c5134d668bbf7e0b7882491dbc7ac?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0
272,7riuy1t0Kt3SRgMtFxX0FR,That Ain't My Truck,Rhett Akins,https://p.scdn.co/mp3-preview/b021214c87569308ae0ee95317ce0e4578fd9671?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0
271,063e0QRQ1rcVWDuxItD8F7,Record High,Randall King,https://p.scdn.co/mp3-preview/2a7b95e81dbc42cfaa60e8c262ab1fbbfff4570f?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0
266,2tOOSmAWGNPMCUSFquZUtO,Oklahoma Stars,Turnpike Troubadours,https://p.scdn.co/mp3-preview/12ba7dc7a67b762ec1d6b378f78ed86b249ead6e?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0
269,1ezlX4PgUb9snszpVblLML,Forgot About You,Triston Marez,https://p.scdn.co/mp3-preview/23ee45d177aac845617278f39bbfa4003d825dd8?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0
268,0pghPocTwFg6ckBUs52SQ8,Good Lord Lorrie,Turnpike Troubadours,https://p.scdn.co/mp3-preview/0877488aac80a81a4fb3d7b33a26fc8b6cd32bad?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0
267,2BNTOqv1zDZbItHIiuUKWf,Old Hat,Jon Pardi,https://p.scdn.co/mp3-preview/abc86743955640a9e7e1f2d46b31be7f2f7ac742?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0
262,2rjeRpzY5eKn2zZMwAfuod,A Thousand Miles from Nowhere,Dwight Yoakam,https://p.scdn.co/mp3-preview/9a45f7c70e1dd0c0d0db3c5e62ceb9d6efb5ce2c?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0
265,5IprLrzGkKjvuheyDmKLq2,Tied One On,Jon Pardi,https://p.scdn.co/mp3-preview/47d4da9e636d324c62f541fa65f5a3031d62614b?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0
264,1hQhVRvc0E4ip1tall6Ey7,Desperately,George Strait,https://p.scdn.co/mp3-preview/3d2d8288b430b3ee90f562d1079a015cb88b1913?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0
263,2rxQMGVafnNaRaXlRMWPde,Beautiful Crazy,Luke Combs,https://p.scdn.co/mp3-preview/22bc30ceb0bd5c8175491dfdc7cdeb8c1a3ba6f8?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0
279,0bM1z18RQpr61UuI1LemIK,Dixieland Delight,Alabama,https://p.scdn.co/mp3-preview/2c4d24f1d9c4279d06ec1e7141a1cd3a6fafbadb?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0
278,05j6LjbEdFWbASJUn9yOBX,Johnny Boy's Bones,Colter Wall,https://p.scdn.co/mp3-preview/d954b2f151280842cd119560a818764434426574?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0
292,7MYCBhcWtRSJ7YXTfIHlI8,Big City,Merle Haggard,https://p.scdn.co/mp3-preview/05a021ce7531fe09dbe264d5d9092cc3687dddbb?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0
280,40Xg69oisdpuP4C7xl3RkK,Long White Line,Sturgill Simpson,https://p.scdn.co/mp3-preview/906da3eefa51ab3a32ce7ade6189d8908fe09cc3?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0
290,0ijVRmoMHk1uNhM6YHvdhe,"No, Pedal Steel",Muscadine Bloodline,https://p.scdn.co/mp3-preview/12537f374f6d61af45db5fc6e6de16ec5c5622a7?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0
260,5VlCTpGdjw80KMurUUhT4Y,Corinthians (Proctor's),Zach Bryan,https://p.scdn.co/mp3-preview/5f8fe374cdbde93d396393a1672b80acfeac52cf?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0
297,7rGkpH9orrg8clCCbbX0JA,Here In the Real World,Alan Jackson,https://p.scdn.co/mp3-preview/b6f0024d4d66698d8854ef9cf0a7952ba366144e?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0
296,3dAgQFdruU8ufWc5GE05xC,She's Everything,Brad Paisley,https://p.scdn.co/mp3-preview/06c9523d9595a9ec606228bb5c9700e43e35b28f?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0
295,4HdxI4yrlmN2C9GaMD9mxL,Cowboy Hat,Jon Pardi,https://p.scdn.co/mp3-preview/66b523711854338dfa59524e036127fe658354b5?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0
294,0HVNChZ47EoD5xKmXJmkOX,Rollin' On,Jesse Daniel,https://p.scdn.co/mp3-preview/8eacbc8753547f044ee8c913ca98a58950465941?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0
293,3dVLKe2i0nZmtOBBWBw9j4,She's Alright,Zach Bryan,https://p.scdn.co/mp3-preview/7884f915d92e48e3e3b4507d4d7f017e10f37ffa?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0
291,7k1Xm1wy00hCKJDYJL5p1n,All My Ex's Live In Texas,George Strait,https://p.scdn.co/mp3-preview/360b8051dccd75ac7e5093e85ce5903a2f0430a4?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0
289,4Hq3ZYml7RLPYKcm8AA3Bn,'68 Fastback,Zach Bryan,https://p.scdn.co/mp3-preview/6227b73dfc93bd77bf472c5e6f38d7cdcf10a82d?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0
281,7rJRYP73BI3LLFtteweC2F,A Life Where We Work Out (feat. Kaitlin Butts),Flatland Cavalry,https://p.scdn.co/mp3-preview/0a2e47c4bf25abb8a55a4c798e558e8bcfa7e20f?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0
288,4QWaq7U3fufJjy1rCBm6ds,Ain't Nothin' to It,Cody Johnson,https://p.scdn.co/mp3-preview/f1102b95efdb9f538497d08aad42429f88ff5e63?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0
287,4HrdoGHlfUq1D0wJm1kZkD,The Galway Girl,Josh Abbott Band,https://p.scdn.co/mp3-preview/093e4734890c5a673b45c5bf99f040c4f4ecb539?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0
286,7F4WQ6WwJLVEDpjR9MG3bw,Sad Songs and Waltzes (with Willie Nelson),Cody Johnson,https://p.scdn.co/mp3-preview/14afa8fec084259dcb26e4f1499a544d6e20e4d1?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0
285,3qrHTum1iqRBRAQwzqOn07,I Ain't Going Nowhere Baby,Cody Johnson,https://p.scdn.co/mp3-preview/266ff2275ecb27fa097ba44fc1d56308c1a5591a?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0
284,7MFuhP7p3fPQc8sYyeWL1x,Quittin’ Time,Morgan Wallen,https://p.scdn.co/mp3-preview/3e62188f8066882689621e5f3c274c2fc3a717e0?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0
283,3e41nkMyqcAwaQCXJVj87G,Only In America,Brooks & Dunn,https://p.scdn.co/mp3-preview/99c082162d31aed9c0063ccc2873b6b1a9d3f136?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0
282,0Uybrtb766jul6WpkjqbID,Hard Times,Tyler Childers,https://p.scdn.co/mp3-preview/3b5240e718a5d61d9344174e67fa444385518f15?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0
261,2rg3yLJKN5Yl4JCHHkMgeC,Time Is Love,Josh Turner,https://p.scdn.co/mp3-preview/67a35cb3d2a8e0e8d9793332a584c61165850f86?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0
229,2zPIhmitmDGUjW1JQQ1PeG,Does Fort Worth Ever Cross Your Mind,George Strait,https://p.scdn.co/mp3-preview/2ae7574fd1e8176538b8d5befe81d068c3f3972c?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0
259,6K155OgCAeWxx4Be2kHkym,Us Then,Zach Bryan,https://p.scdn.co/mp3-preview/a71e42d9b887ec3853ee32616e7b68fc5bc660a3?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0
231,6RFkVsPmrM4pzlDkFswwJl,God's Gonna Cut You Down,Johnny Cash,https://p.scdn.co/mp3-preview/2823cb415ce311deee5eed69c0581bed526ed4f6?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0
238,5vLonpxn4VN0A8GtQOBSG0,When the Sun Goes Down,Kenny Chesney,https://p.scdn.co/mp3-preview/a46e36727cb50c6b48801291bd81d3dcc5175cf2?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0
237,6ToJBkuyY9YQB5zxGAm9V1,It's Good To Be Back ('Round Here Again),Flatland Cavalry,https://p.scdn.co/mp3-preview/59534f05a30ead0aea236f5b71eac263c2a6eaaa?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0
236,2ZL60ZCuasf2zih8Nz7ISU,Big Iron,Colter Wall,https://p.scdn.co/mp3-preview/bf0ee4767cc3fd6362c08839c7951d93da4ba4c8?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0
235,1W6lpXe6E7GvntssrJJSLM,Man Thats Never Known You,Zach Bryan,https://p.scdn.co/mp3-preview/472b82568c776e0ccee6234ec659e21eb3374d70?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0
234,6SDAyY4qCtrsTbXGklYJB4,Where I Wanna Be,Eric Church,https://p.scdn.co/mp3-preview/111462ca5945f97f6e88b16e5aa64fa940f48aaf?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0
233,2ZXsvL9DO2MPv43Ay1IxgR,John Deere Green,Joe Diffie,https://p.scdn.co/mp3-preview/25d5070720a75c751f31ea865c931fcbcbcff238?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0
